"행정구역(시군구)별",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"중구",-,-,-,-,-,236306,232129,230046,232038,232911,234865,233629,235232,235417,234896,236573,233898,230212,232915,232634,233013,234607,238825,244481,242536,238652
"남구",-,-,-,-,-,320499,321480,326066,335409,344011,347695,347485,347323,347162,345769,342675,343922,343740,344131,343504,346836,349064,347759,343598,340714,335439
"동구",-,-,-,-,-,200317,189484,188192,186944,185951,186641,186135,185383,184599,185954,181844,176431,173841,170764,172172,175479,178468,176668,174963,174514,169605
"북구",-,-,-,-,-,104167,117184,118965,121073,122480,124515,131775,139165,146117,148772,155642,166469,171674,177488,182504,184088,185695,188733,191063,195285,200718
"울주군",-,-,-,-,-,148363,154972,161067,164761,170265,171321,173843,174350,174353,177103,183261,191687,195399,201000,204680,207840,208646,214392,219429,219255,220718
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113117,122153,156125,210884,243048,280100
"세종시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113117,122153,156125,210884,243048,280100
"경기도",6613094,7005232,7421823,7789424,8155794,8470594,8672632,8934332,9219343,9544496,9927473,10206851,10462920,10697215,10906033,11106211,11292264,11460610,11786622,11937415,12093299,12234630,12357830,12522606,12716780,12873895
"수원시",696322,713221,729017,746610,769876,798640,854084,910045,948065,974866,1019711,1032944,1033829,1045587,1068906,1067702,1067425,1073149,1077535,1088489,1120258,1148157,1174228,1184624,1194041,1202628
"장안구",-,250467,251082,253062,251420,262984,266490,296723,309266,323368,346336,285539,283770,284176,289490,287474,285803,290798,293692,290999,291757,300908,301196,299016,296479,293828
"권선구",-,239564,255280,260360,283132,291489,296787,307883,321646,328962,328786,287059,287081,297045,307072,310553,308177,304097,306783,321176,332633,331773,339835,351053,358393,365653
"팔달구",-,223190,222655,233188,235324,244167,290807,305439,317153,322536,344589,216031,220842,218375,217794,216945,213235,219833,216503,209772,206794,204805,203479,199180,198515,193311
"영통구",-,-,-,-,-,-,-,-,-,-,-,244315,242136,245991,254550,252730,260210,258421,260557,266542,289074,310671,329718,335375,340654,349836
"성남시",645311,729959,800273,886663,914240,923226,921227,921204,924390,932780,940974,962048,977166,983075,964831,953960,942447,962726,980190,979323,978615,979534,974608,971424,974580,967510
"수정구",-,276919,267871,262209,261064,261173,258028,257807,257048,257575,259763,260244,262170,261889,259427,256744,248452,242161,241070,236123,233997,228167,223539,219531,232841,236932
"중원구",-,279995,285036,284210,282539,281054,276600,273312,273913,273728,273671,274874,272105,269667,264971,263101,265137,259877,258093,254872,253883,256349,251982,250004,237909,230366
"분당구",-,173045,247366,340244,370637,380999,386599,390085,393429,401477,407540,426930,442891,451519,440433,434115,428858,460688,481027,488328,490735,495018,499087,501889,503830,500212
"의정부시",237811,253876,269701,281184,290326,306585,327965,344780,361131,367171,378424,394803,397612,402410,410938,421853,430849,431008,431801,430400,429147,430976,431112,433937,438457,441584
"안양시",539775,588376,594891,593142,599163,591522,586562,582584,581166,591670,595142,604505,621047,625350,624280,624197,620279,616547,621714,615642,611412,607877,600809,597789,597414,587764
"만안구",-,275244,264923,262597,262509,256321,252866,251126,254871,261508,269302,266852,265601,267789,267612,265881,262820,262258,266261,263077,253492,250246,247315,247270,252353,254977
"동안구",-,313132,329968,330545,336654,335201,333696,331458,326295,330162,325840,337653,355446,357561,356668,358316,357459,354289,355453,352565,357920,357631,353494,350519,345061,332787
"부천시",687751,723481,756219,779745,793437,788136,778789,775573,775815,781091,816499,844256,855697,855359,860020,864037,867678,869944,875204,872452,869944,863720,855586,848987,851380,850329
"원미구",-,326421,364765,388384,395684,394020,389560,388385,389189,388754,424021,441491,444837,443365,443964,443290,441795,447136,448602,446247,446604,444207,442638,442898,-,-
"소사구",-,215435,208637,209226,212366,209037,204039,200913,198278,201227,201594,212857,221932,224246,227368,227484,230155,229335,230557,232190,231363,229959,226400,222016,-,-
"오정구",-,181625,182817,182135,185387,185079,185190,186275,188348,191110,190884,189908,188928,187748,188688,193263,195728,193473,196045,194015,191977,189554,186548,184073,-,-
"광명시",337842,341191,344094,343899,346108,342630,343933,340021,338139,336309,340807,336083,331419,327828,313372,313019,310501,314257,343982,355226,355560,353100,348560,344978,339484,332790
"평택시",87630,90565,96905,321636,335901,346008,346694,352181,356103,358263,358531,364979,370653,383976,396765,402458,406721,410042,419457,426886,434305,442034,449555,460532,470832,481530
"송탄시",91495,97653,103656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동두천시",69388,71284,71634,72431,72860,73644,73625,74665,75529,74266,73177,74735,79214,82623,85803,88780,90835,93211,95653,96253,97175,97557,97595,97974,98277,97071
"안산시",354433,399822,457910,504615,527650,544144,546117,547759,566912,590598,628861,651625,666784,679011,698819,705040,708257,705346,714891,715586,715108,713666,707876,697885,689859,677710
"상록구",-,-,-,-,-,-,-,-,-,-,338133,346525,350368,357018,369527,373969,377005,374055,379136,380880,381556,382571,381508,379517,375857,370744
"단원구",-,-,-,-,-,-,-,-,-,-,290728,305100,316416,321993,329292,331071,331252,331291,335755,334706,333552,331095,326368,318368,314002,306966
"고양시",257654,306622,418919,563398,657226,718465,750418,772390,797597,811467,836664,865077,886000,904077,910206,924839,938831,938784,950115,961239,969916,990571,1006154,1027546,1039684,1041983
"덕양구",-,-,-,-,301694,339915,357085,362916,369447,371375,377046,380711,385784,389301,381105,378260,386817,388777,394375,391832,396559,410491,424423,441988,446233,448684
"일산구",-,-,-,-,355532,378550,393333,409474,428150,440092,459618,484366,500216,-,-,-,-,-,-,-,-,-,-,-,-,-
"일산동구",-,-,-,-,-,-,-,-,-,-,-,-,-,225546,239632,256493,261358,261943,269292,278095,281949,283976,284207,285658,292612,293673
"일산서구",-,-,-,-,-,-,-,-,-,-,-,-,-,289230,289469,290086,290656,288064,286448,291312,291408,296104,297524,299900,300839,299626
"과천시",72243,70963,69906,70105,70890,71128,71322,71329,71432,71201,70488,70324,68333,60956,60482,62291,69477,72049,72279,71955,71068,70578,70156,68946,63778,57527
"구리시",124770,126996,136794,143177,155429,164150,163758,166232,169417,184816,193214,192947,193438,192548,193847,196800,195874,195593,196398,194881,192341,189680,186820,186721,193763,200042
"미금시",74721,75046,74135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"남양주시",-,-,-,237398,254106,278939,306553,334551,358396,375041,392614,403755,418360,450054,470617,492347,505867,525211,564141,578485,599539,618305,636256,653454,662154,665321
"오산시",60967,62615,63348,69562,72518,75344,76638,84843,105933,114540,115956,118167,121326,129843,136311,145825,150237,159734,182516,193892,200291,205460,208565,206828,208656,213437
"시흥시",128517,131940,135903,139262,174876,221420,253329,293272,318083,337402,353860,368223,378613,387239,390477,390564,392756,397912,403797,401149,399485,396765,394639,398256,402888,419664
"군포시",130877,177873,223212,244540,253874,261794,270138,270061,270151,269080,268559,273765,275761,277781,274569,275351,277590,275731,287833,287294,286841,286344,288408,287519,284890,281205
"의왕시",97641,95481,105376,109752,111562,114311,115505,116300,121292,124191,133395,143388,145535,145952,138253,135009,134488,140874,147443,149607,154757,159772,158482,157740,156763,155767
"하남시",95112,96154,107521,117378,122008,125163,123836,123709,123366,123659,127541,128326,129903,132850,134824,137131,143638,148566,150479,148397,146269,145096,148896,166713,211101,232487
"용인시",-,-,-,-,270517,300670,318393,357126,392133,451670,525622,575255,640452,693660,766569,800294,816763,839204,876550,896044,915959,941477,961026,975746,991126,1004081
"처인구",-,-,-,-,-,-,-,-,-,-,-,-,-,196830,199397,202714,203805,203620,207935,209200,210524,212904,218400,221347,226130,231553
"기흥구",-,-,-,-,-,-,-,-,-,-,-,-,-,224770,282461,301630,315461,340133,357935,368722,375875,393172,402206,409162,417163,419429
"수지구",-,-,-,-,-,-,-,-,-,-,-,-,-,272060,284711,295950,297497,295451,310680,318122,329560,335401,340420,345237,347833,353099
"파주시",-,-,-,-,171056,177136,178803,181496,191726,224658,235147,237658,246323,261770,292752,303831,311164,323011,355632,378790,394201,401718,411348,423321,430781,437848
"이천시",-,-,-,-,160479,171108,175400,180285,183605,187274,189526,190753,190808,192271,194369,195691,196633,197496,202595,204566,204917,205479,205014,204935,210359,213142
"안성시",-,-,-,-,-,-,129957,132093,136590,141605,147898,151522,154110,157130,159655,163733,169545,170919,177937,180743,181608,182173,181896,180199,182896,182786
"김포시",-,-,-,-,-,-,127865,148066,162997,180404,193438,203391,208192,207229,207824,205997,220418,225805,238339,256994,287432,312305,340310,349990,363443,392092
"화성시",-,-,-,-,-,-,-,-,-,210524,226930,236226,271563,296530,310171,371972,449354,491528,505838,516765,525490,530251,540862,596525,640890,691086
"광주시",-,-,-,-,-,-,-,-,-,152878,175614,191466,205641,214498,222048,229319,234777,238583,249789,265222,275656,286699,298858,312579,327723,345947
"양주시",-,-,-,-,-,-,-,-,-,-,-,148062,152596,160589,169806,179914,179914,182106,196706,200360,200310,199143,202072,205184,205513,212146
"포천시",-,-,-,-,-,-,-,-,-,-,-,150240,150364,155242,157269,158156,160176,158931,158658,157967,157559,156603,155798,155192,154763,152925
"여주시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109343,110386,111033,111563,111984
"양주군",88535,90706,91222,94157,96896,101310,101810,108309,117319,135748,143124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"남양주군",139229,145639,152839,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"여주군",95913,95953,95661,96891,99557,100634,101223,101478,103622,104648,104380,104030,103976,104260,105022,106926,107355,108088,109250,109120,109550,-,-,-,-,-
"평택군",110411,110939,111849,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"화성군",181385,182216,163596,163445,167303,176702,178743,183166,191444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"파주군",164647,166496,167600,168249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"광주군",83094,85284,87190,92815,101464,110242,114789,123865,139339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연천군",56136,55777,54862,54803,55117,55154,54365,53766,52786,51655,50372,49508,48687,47123,46075,45603,45495,45241,45177,44900,45599,45610,45363,45725,45907,45431
"포천군",118930,121998,123381,128181,134487,141741,143257,144912,145981,146272,152507,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가평군",53722,53925,54061,55005,56203,56613,56334,56386,56111,56045,55506,55060,54845,54861,54855,55698,57108,57564,58890,59358,60794,61017,61213,62008,62448,62973
"양평군",77593,77111,76548,78749,81314,81502,81200,81885,82773,82704,82992,83730,84673,85533,86298,87874,89812,91450,95833,99430,102193,103620,105379,108316,111367,115105
"이천군",147500,148111,150805,155737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"용인군",182625,191347,209071,243785,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"안성군",120450,120914,122318,124671,125839,128339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
